Dx,Dy,Fz,Load_Case
0.44,-1.27,0,transition
0.63,-2.12,-1000,LC2a
1.66,-5.65,-1000,LC2a
-0.77,2.62,-1000,LC2a
1.66,-5.65,-1000,LC2a
-0.77,2.62,-1000,LC2a
0.27,-0.93,-1000,LC2a
0.27,-0.93,-500,transition
2.31,-7.87,-500,LC2b
-1.54,5.25,-500,LC2b
2.31,-7.87,-500,LC2b
-1.54,5.25,-500,LC2b
-0.49,1.68,-500,LC2b
-0.299,0.483,-1250,transition
0,0,-1250,transition
3.742,0,-1250,LC3a
1,0,-1250,LC3a
0.75,0.25,-1250,LC3a
4.1,1.638,-1250,LC3a
0.75,0.25,-1250,LC3a
0.5,0.5,-1250,LC3a
3.198,3.198,-1250,LC3a
0.5,0.5,-1250,LC3a
0.25,0.75,-1250,LC3a
1.47,3.695,-1250,LC3a
0.25,0.75,-1250,LC3a
0,1,-1250,LC3a
0,4.212,-1250,LC3a
0,1,-1250,LC3a
-0.25,0.75,-1250,LC3a
-1.437,3.611,-1250,LC3a
-0.25,0.75,-1250,LC3a
-0.5,0.5,-1250,LC3a
-2.737,2.733,-1250,LC3a
-0.5,0.5,-1250,LC3a
-0.75,0.25,-1250,LC3a
-3.523,1.397,-1250,LC3a
-0.75,0.25,-1250,LC3a
-1,0,-1250,LC3a
-4.01,0,-1250,LC3a
-1,0,-1250,LC3a
-0.75,-0.25,-1250,LC3a
-3.618,-1.44,-1250,LC3a
-0.75,-0.25,-1250,LC3a
-0.5,-0.5,-1250,LC3a
-2.827,-2.827,-1250,LC3a
-0.5,-0.5,-1250,LC3a
-0.25,-0.75,-1250,LC3a
-1.56,-3.907,-1250,LC3a
-0.25,-0.75,-1250,LC3a
0,-1,-1250,LC3a
0,-4.602,-1250,LC3a
0,-1,-1250,LC3a
0.25,-0.75,-1250,LC3a
1.451,-3.649,-1250,LC3a
0.25,-0.75,-1250,LC3a
0.5,-0.5,-1250,LC3a
2.761,-2.762,-1250,LC3a
0.5,-0.5,-1250,LC3a
0.75,-0.25,-1250,LC3a
3.723,-1.481,-1250,LC3a
0.75,-0.25,-1250,LC3a
1,0,-1250,LC3a
1,0,-750,transition
5.747,0,-750,LC3b
1,0,-750,LC3b
0.75,0.25,-750,LC3b
5.809,2.346,-750,LC3b
0.75,0.25,-750,LC3b
0.5,0.5,-750,LC3b
4.151,4.151,-750,LC3b
0.5,0.5,-750,LC3b
0.25,0.75,-750,LC3b
2.236,5.539,-750,LC3b
0.25,0.75,-750,LC3b
0,1,-750,LC3b
0,6.363,-750,LC3b
0,1,-750,LC3b
-0.25,0.75,-750,LC3b
-1.989,4.948,-750,LC3b
-0.25,0.75,-750,LC3b
-0.5,0.5,-750,LC3b
-3.861,3.858,-750,LC3b
-0.5,0.5,-750,LC3b
-0.75,0.25,-750,LC3b
-5.602,2.257,-750,LC3b
-0.75,0.25,-750,LC3b
-1,0,-750,LC3b
-6.383,0,-750,LC3b
-1,0,-750,LC3b
-0.75,-0.25,-750,LC3b
-5.132,-2.065,-750,LC3b
-0.75,-0.25,-750,LC3b
-0.5,-0.5,-750,LC3b
-3.74,-3.74,-750,LC3b
-0.5,-0.5,-750,LC3b
-0.25,-0.75,-750,LC3b
-2.122,-5.269,-750,LC3b
-0.25,-0.75,-750,LC3b
0,-1,-750,LC3b
0,-6.379,-750,LC3b
0,-1,-750,LC3b
0.25,-0.75,-750,LC3b
1.96,-4.88,-750,LC3b
0.25,-0.75,-750,LC3b
0.5,-0.5,-750,LC3b
3.802,-3.804,-750,LC3b
0.5,-0.5,-750,LC3b
0.75,-0.25,-750,LC3b
5.406,-2.179,-750,LC3b
0.75,-0.25,-750,LC3b
1,0,-750,LC3b
1,0,-250,transition
11.36,0,-250,LC3c
1,0,-250,LC3c
0.75,0.25,-250,LC3c
8.201,3.336,-250,LC3c
0.75,0.25,-250,LC3c
0.5,0.5,-250,LC3c
7.476,7.474,-250,LC3c
0.5,0.5,-250,LC3c
0.25,0.75,-250,LC3c
4.839,11.83,-250,LC3c
0.25,0.75,-250,LC3c
0,1,-250,LC3c
0,12.4,-250,LC3c
0,1,-250,LC3c
-0.25,0.75,-250,LC3c
-4.118,10.09,-250,LC3c
-0.25,0.75,-250,LC3c
-0.5,0.5,-250,LC3c
-8.399,8.399,-250,LC3c
-0.5,0.5,-250,LC3c
-0.75,0.25,-250,LC3c
-11.84,4.844,-250,LC3c
-0.75,0.25,-250,LC3c
-1,0,-250,LC3c
-13.94,0,-250,LC3c
-1,0,-250,LC3c
-0.75,-0.25,-250,LC3c
-12.31,-5.038,-250,LC3c
-0.75,-0.25,-250,LC3c
-0.5,-0.5,-250,LC3c
-9.656,-9.655,-250,LC3c
-0.5,-0.5,-250,LC3c
-0.25,-0.75,-250,LC3c
-4.978,-12.16,-250,LC3c
-0.25,-0.75,-250,LC3c
0,-1,-250,LC3c
0,-11.98,-250,LC3c
0,-1,-250,LC3c
0.25,-0.75,-250,LC3c
4.694,-11.48,-250,LC3c
0.25,-0.75,-250,LC3c
0.5,-0.5,-250,LC3c
9.697,-9.696,-250,LC3c
0.5,-0.5,-250,LC3c
0.75,-0.25,-250,LC3c
13.69,-5.61,-250,LC3c
0.75,-0.25,-250,LC3c
1,0,-250,LC3c
1,0,-250,LC3c
