Load_Case,Time_Stamp
LC1,2008-12-04 09:31:47.383
LC1,2008-12-04 09:46:38.383
LC2a,2008-12-04 10:22:57.383
LC2a,2008-12-04 10:33:56.383
LC2a,2008-12-04 10:46:57.383
LC2a,2008-12-04 10:55:54.383
LC2b,2008-12-04 11:14:29.383
LC2b,2008-12-04 11:31:29.383
LC2b,2008-12-04 11:47:59.383
LC2b,2008-12-04 12:07:00.383
LC3a,2008-12-04 12:37:39.383
LC3a,2008-12-04 12:45:16.383
LC3a,2008-12-04 12:50:41.383
LC3a,2008-12-04 12:55:53.383
LC3a,2008-12-04 13:02:01.383
LC3a,2008-12-04 13:09:21.383
LC3a,2008-12-04 13:17:41.383
LC3a,2008-12-04 13:26:05.383
LC3b,2008-12-04 13:43:30.383
LC3b,2008-12-04 13:54:31.383
LC3b,2008-12-04 14:15:45.383
LC3b,2008-12-04 14:28:00.383
LC3b,2008-12-04 14:39:42.383
LC3b,2008-12-04 14:49:16.383
LC3b,2008-12-04 15:01:12.383
LC3b,2008-12-04 15:13:15.383
LC3c,2008-12-04 15:32:31.383
LC3c,2008-12-04 15:54:18.383
LC3c,2008-12-04 16:31:51.383
LC3c,2008-12-05 09:15:28.167
LC3c,2008-12-05 09:50:28.167
