Dx,Dy,Fz,Load_Case
2.971,-0.632,0,transition
4.363,-0.632,-600,transition
9.236,-0.632,-600,LC2a
-3.987,-0.632,-600,LC2a
9.254,-0.632,-600,LC2a
-3.964,-0.632,-600,LC2a
2.305,-0.632,-600,LC2a
2.305,-0.632,-300,transition
12.04,-0.632,-300,LC2b
-7.03,-0.632,-300,LC2b
13.69,-0.632,-300,LC2b
-7.998,-0.632,-300,LC2b
0,-0.632,-300,LC2b
0,0,-300,transition
0,0,-800,transition
2.162,0,-800,LC3a
2.162,2.162,-800,LC3a
0,2.162,-800,LC3a
0,-2.162,-800,LC3a
-2.162,-2.162,-800,LC3a
-2.162,0,-800,LC3a
2.162,0,-800,LC3a
2.162,2.162,-800,LC3a
0,2.162,-800,LC3a
0,-2.162,-800,LC3a
-2.162,-2.162,-800,LC3a
-2.162,0,-800,LC3a
4.32,0,-800,LC3a
4.32,4.32,-800,LC3a
0,4.32,-800,LC3a
0,-4.32,-800,LC3a
-4.32,-4.32,-800,LC3a
-4.32,0,-800,LC3a
4.32,0,-800,LC3a
4.32,4.32,-800,LC3a
0,4.32,-800,LC3a
0,-4.32,-800,LC3a
-4.32,-4.32,-800,LC3a
-4.32,0,-800,LC3a
6.482,0,-800,LC3a
6.482,6.482,-800,LC3a
0,6.482,-800,LC3a
0,-6.482,-800,LC3a
-6.482,-6.482,-800,LC3a
-6.482,0,-800,LC3a
8.641,0,-800,LC3a
8.641,8.641,-800,LC3a
0,8.641,-800,LC3a
0,-8.641,-800,LC3a
-8.641,-8.641,-800,LC3a
-8.641,0,-800,LC3a
10.8,0,-800,LC3a
10.8,10.8,-800,LC3a
0,10.8,-800,LC3a
0,-10.8,-800,LC3a
-10.8,-10.8,-800,LC3a
-10.8,0,-800,LC3a
0,0,-800,LC3a
