Load_Case,Start_Time_Stamp,End_Time_Stamp,Axial_Load
LC1,2008-12-29 10:02:21.821,2008-12-29 10:53:15.821
LC2,2008-12-29 10:53:15.821,2008-12-29 14:02:34.821
LC2a,2008-12-29 11:04:55.821,2008-12-29 12:13:15.821
LC2b,2008-12-29 12:20:45.821,2008-12-29 14:02:34.821
LC3,2008-12-29 14:02:34.821,2008-12-30 17:08:57.117
LC3a,2008-12-29 14:07:34.821,2008-12-29 16:45:54.821
LC3b,2008-12-29 16:45:54.821,2008-12-30 11:00:35.117
LC3c,2008-12-30 11:00:35.117,2008-12-30 13:03:55.117
LC3d,2008-12-30 13:03:55.117,2008-12-30 14:32:15.117
LC3e,2008-12-30 14:32:15.117,2008-12-30 16:16:46.117
LC3f,2008-12-30 16:16:46.117,2008-12-30 17:01:46.117
