Load_Case,Time_Stamp
LC2a,2008-12-29 11:11:02.821
LC2a,2008-12-29 11:22:56.821
LC2a,2008-12-29 11:35:12.821
LC2a,2008-12-29 12:05:54.821
LC2b,2008-12-29 12:30:39.821
LC2b,2008-12-29 12:54:34.821
LC2b,2008-12-29 13:17:24.821
LC2b,2008-12-29 13:49:54.821
LC3a,2008-12-29 15:05:18.821
LC3a,2008-12-29 15:12:41.821
LC3a,2008-12-29 15:25:02.821
LC3a,2008-12-29 16:15:30.821
LC3a,2008-12-29 14:52:21.821
LC3a,2008-12-29 15:37:29.821
LC3a,2008-12-29 16:05:19.821
LC3b,2008-12-30 09:07:07.117
LC3b,2008-12-30 09:11:20.117
LC3b,2008-12-30 09:19:50.117
LC3b,2008-12-30 09:30:40.117
LC3b,2008-12-30 09:40:56.117
LC3b,2008-12-30 10:20:53.117
LC3b,2008-12-30 10:30:30.117
LC3b,2008-12-30 10:38:25.117
LC3b,2008-12-30 10:47:37.117
LC3c,2008-12-30 11:32:59.117
LC3c,2008-12-30 11:43:08.117
LC3c,2008-12-30 11:55:33.117
LC3c,2008-12-30 12:03:08.117
LC3c,2008-12-30 12:11:51.117
LC3c,2008-12-30 12:19:27.117
LC3c,2008-12-30 12:28:33.117
LC3c,2008-12-30 12:46:51.117
LC3d,2008-12-30 13:15:00.117
LC3d,2008-12-30 13:20:50.117
LC3d,2008-12-30 13:28:38.117
LC3d,2008-12-30 12:56:10.117
LC3d,2008-12-30 13:47:46.117
LC3d,2008-12-30 13:54:03.117
LC3d,2008-12-30 14:00:09.117
LC3d,2008-12-30 14:04:45.117
LC3d,2008-12-30 14:09:13.117
LC3e,2008-12-30 14:52:16.117
LC3e,2008-12-30 14:56:26.117
LC3e,2008-12-30 15:02:25.117
LC3e,2008-12-30 15:07:58.117
LC3e,2008-12-30 15:14:31.117
LC3e,2008-12-30 15:33:03.117
LC3e,2008-12-30 15:40:18.117
LC3e,2008-12-30 15:46:34.117
LC3e,2008-12-30 15:52:23.117
LC3e,2008-12-30 15:57:58.117
LC3f,2008-12-30 16:40:12.117
LC3f,2008-12-30 16:36:53.117
LC3f,2008-12-30 16:46:12.117
LC3f,2008-12-30 16:42:23.117
