Specimen,XTOP,YTOP,X6_2,X9_2,X12_2,X13_8,X6_0,X10_0,X14_0,X18_0,X22_0,Y6_2,Y9_2,Y12_2,Y13_8,Y6_0,Y10_0,Y14_0,Y18_0,Y22_0
1,0,0,,,,,,,,,,,,,,,,,,
2,0.75,-0.32,0.253683,0.396557,0.498653,0.578686,,,,,,-0.1716,-0.236768,-0.28871,-0.314298,,,,,
3,0.4,-0.87,0.118109,0.197767,0.196225,0.275592,,,,,,-0.3937,-0.551642,-0.74864,-0.78556,,,,,
4,1.337,0,0.392823,0.646896,0.901213,1.01989,,,,,,-0.100533,-0.0720495,-0.0268785,-0.0485318,,,,,
5,-0.08,0.45,-0.0790591,-0.119106,-0.119739,-0.119502,,,,,,0.258403,0.257259,0.29771,0.335276,,,,,
6,0.36,-0.24,0.156261,0.256369,0.265019,0.316817,,,,,,-0.154399,-0.194056,-0.233153,-0.234995,,,,,
7,-0.3,-0.47,-0.0626873,-0.112799,-0.183171,-0.201635,,,,,,-0.154173,-0.220939,-0.280752,-0.315577,,,,,
8,1.81,-0.63,0.591462,0.905975,1.22047,1.37857,,,,,,-0.193366,-0.312632,-0.392475,-0.471828,,,,,
9,0.82,-0.24,0.242917,0.327357,0.528592,0.612848,,,,,,-0.197197,-0.196953,-0.156238,-0.159381,,,,,
10,0.79,-0.63,,,,,0.236071,0.31404,0.438547,0.553892,0.683064,,,,,-0.109669,-0.219225,-0.29386,-0.409594,-0.48635
11,0.59,-2.12,,,,,0.0392194,0.0793548,0.159,0.318124,0.395994,,,,,-0.354183,-0.669296,-0.7874,-1.14311,-1.77258
12,0.63,0,,,,,0.193133,0.382053,0.565369,0.668202,0.6712,,,,,-0.119728,-0.128306,-0.144006,-0.134567,-0.119753
13,0.68,0,,,,,0.119026,0.354639,0.442192,0.513624,0.634973,,,,,-0.113577,-0.000304315,-0.0512601,-0.00771187,0.0451291
14,0.12,-0.66,,,,,0.0407496,0.063666,0.0956835,0.133726,0.12677,,,,,-0.0946838,-0.205409,-0.302422,-0.407857,-0.531037
15,0.24,1.62,,,,,0.0402851,0.0796581,0.118419,0.197756,0.196854,,,,,0.236069,0.393082,0.63114,0.90873,1.22649
16,-0.6,0,,,,,-0.284258,-0.528143,-0.631176,-0.661873,-0.681634,,,,,0.0384736,0.0334327,0.0164888,0.0128276,-0.00286383
17,1.68,0,,,,,0.356932,0.654225,0.870317,1.16006,1.43058,,,,,0.417425,0.536995,0.501435,0.422876,0.354979
18,0,0,,,,,-0.185633,-0.422058,-0.497106,-0.33622,-0.132534,,,,,0.182914,0.339327,0.364567,0.215274,0.0845647
