Specimen_Number,Number_Of_Cycles,Load_Limit_Reached,Direction_Of_Motion,target_Dx_LC1a,target_Dy_LC1a,target_Dx_LC1b,target_Dy_LC1b,target_Dx_LC1c,target_Dy_LC1c
1,,,,,,,,,
2,2,0,-0.701336,2.23,-1.58,2.34,1.64,,
3,3,1,-1.382034,0.75,-2.71,0.75,-2.81,0.75,-2.84
4,2,0,0,7.84,0,8.62,0,,
5,2,1,0,0.15,0,0.15,0,,
6,2,0,1.269829,-1.25,-5.4,-1.24,-5.48,,
7,2,1,1.112282,-0.88,-1.63,-0.91,-1.7,,
8,2,0,0,6.95,0,7.68,0,,
9,2,1,0,1.5,0,1.5,0,,
10,1,0,-0.386917,6.49,-2.92,,,,
11,2,0,-1.376119,1.37,-6.09,1.72,-8.1,,
12,1,0,0,8.42,0,,,,
13,2,0,0,3.41,0,3.42,0,,
14,1,0,1.470513,-0.46,-6.63,,,,
15,2,0,1.008996,2.78,5.67,4.81,8.89,,
16,1,0,0,-3.74,0,,,,
17,1,0,0,8.14,0,,,,
18,,,,,,,,,
