name,type,axis,D,H,B,t,L,Fy,Fu,Es,fc,Ec,ft
1-C5-18-5,ccft,strong,5.563,,,0.124,216.5,55.6,70.7,28135,5.5,4000,1.1
2-C12-18-5,ccft,strong,12.75,,,0.233,216.5,48.9,64.7,28886,5.6,4000,1.1
3-C20-18-5,ccft,strong,20,,,0.233,217.5,47.6,68.3,29045,5.8,4000,1.1
4-Rw-18-5,rcft,weak,,20,12,0.291,218,53,72.8,29352,5.9,4000,1.1
5-Rs-18-5,rcft,strong,,20,12,0.291,218,53,72.8,29352,5.9,4000,1.1
6-C12-18-12,ccft,strong,12.75,,,0.233,216.5,48.9,64.7,28886,13.2,6070,1.65
7-C20-18-12,ccft,strong,20,,,0.233,217.875,47.6,68.3,29045,13.2,6070,1.65
8-Rw-18-12,rcft,weak,,20,12,0.291,218.625,53,72.8,29352,13.3,6070,1.65
9-Rs-18-12,rcft,strong,,20,12,0.291,218.625,53,72.8,29352,13.3,6070,1.65
10-C12-26-5,ccft,strong,12.75,,,0.233,313,48.6,68.1,29038,7.9,5000,0.6
11-C20-26-5,ccft,strong,20,,,0.233,314.75,44.3,69.2,29254,8.1,5000,0.6
12-Rw-26-5,rcft,weak,,20,12,0.291,313.25,58.9,77.4,29024,8.2,5000,0.6
13-Rs-26-5,rcft,strong,,20,12,0.291,313.75,55.5,73.2,29033,8.3,5000,0.6
14-C12-26-12,ccft,strong,12.75,,,0.233,313.5,55.5,66.8,27763,11.6,5800,0.76
15-C20-26-12,ccft,strong,20,,,0.233,314,42.5,65.8,29027,11.6,5800,0.76
16-Rw-26-12,rcft,weak,,20,12,0.291,313.25,55.2,73.4,29078,11.7,5800,0.76
17-Rs-26-12,rcft,strong,,20,12,0.291,313.5,55.1,71.9,29020,11.7,5800,0.76
18-C5-26-12,ccft,strong,5.563,,,0.124,312.625,55.6,70.7,28135,11.7,5800,0.76
